iter	Passed	Remaining
0	132	132705
1	134	67065
2	135	45115
3	136	34087
4	137	27455
5	138	23021
6	139	19844
7	141	17491
8	142	15657
9	143	14159
10	143	12945
11	145	11944
12	146	11090
13	147	10362
14	148	9729
15	149	9169
16	150	8698
17	151	8257
18	152	7865
19	153	7512
20	154	7195
21	155	6906
22	157	6676
23	158	6433
24	159	6219
25	160	6013
26	161	5820
27	162	5641
28	163	5474
29	164	5322
30	165	5184
31	166	5046
32	167	4919
33	168	4801
34	170	4687
35	171	4584
36	172	4480
37	173	4383
38	174	4290
39	175	4201
40	176	4121
41	177	4047
42	178	3971
43	180	3917
44	181	3851
45	182	3785
46	183	3720
47	184	3662
48	185	3609
49	187	3553
50	188	3503
51	189	3453
52	190	3401
53	191	3355
54	192	3308
55	193	3266
56	195	3234
57	196	3196
58	198	3158
59	199	3120
60	200	3080
61	201	3044
62	202	3008
63	203	2973
64	204	2939
65	205	2907
66	206	2875
67	207	2844
68	208	2818
69	210	2790
70	211	2762
71	212	2735
72	213	2708
73	214	2681
74	215	2654
75	216	2630
76	217	2605
77	218	2582
78	219	2558
79	220	2534
80	221	2512
81	222	2491
82	223	2465
83	224	2446
84	225	2426
85	226	2406
86	227	2387
87	228	2368
88	229	2352
89	230	2334
90	232	2318
91	233	2301
92	234	2284
93	235	2266
94	236	2249
95	237	2234
96	238	2219
97	239	2204
98	240	2190
99	241	2175
100	242	2161
101	243	2147
102	245	2134
103	246	2120
104	247	2107
105	248	2094
106	249	2080
107	250	2067
108	251	2054
109	252	2044
110	253	2032
111	254	2019
112	255	2008
113	257	1998
114	258	1988
115	259	1976
116	260	1963
117	261	1952
118	262	1942
119	263	1933
120	265	1927
121	266	1918
122	268	1912
123	269	1902
124	270	1893
125	271	1885
126	272	1876
127	274	1867
128	275	1859
129	276	1851
130	277	1842
131	279	1835
132	280	1829
133	282	1827
134	284	1819
135	285	1812
136	286	1804
137	287	1796
138	288	1788
139	289	1780
140	290	1771
141	291	1761
142	292	1753
143	293	1744
144	294	1736
145	295	1728
146	296	1720
147	297	1713
148	298	1705
149	299	1697
150	300	1690
151	301	1682
152	302	1674
153	303	1666
154	304	1658
155	305	1651
156	306	1645
157	307	1638
158	308	1632
159	309	1625
160	310	1617
161	311	1612
162	312	1605
163	313	1598
164	314	1590
165	315	1584
166	316	1577
167	317	1572
168	318	1566
169	319	1561
170	320	1555
171	321	1548
172	322	1542
173	323	1536
174	325	1533
175	326	1528
176	327	1521
177	328	1515
178	329	1510
179	330	1504
180	331	1500
181	332	1495
182	334	1491
183	335	1486
184	336	1480
185	337	1475
186	338	1469
187	339	1465
188	340	1460
189	341	1454
190	342	1449
191	343	1444
192	344	1439
193	345	1434
194	346	1429
195	347	1424
196	348	1419
197	349	1414
198	350	1410
199	351	1405
200	352	1400
201	353	1395
202	354	1391
203	355	1387
204	356	1382
205	357	1378
206	358	1374
207	359	1370
208	361	1367
209	362	1363
210	363	1359
211	364	1354
212	365	1350
213	366	1346
214	367	1343
215	369	1341
216	370	1338
217	371	1333
218	372	1329
219	373	1325
220	374	1321
221	375	1317
222	377	1313
223	378	1310
224	379	1306
225	380	1302
226	381	1299
227	382	1294
228	383	1291
229	384	1287
230	385	1284
231	386	1280
232	387	1276
233	389	1273
234	390	1269
235	391	1266
236	392	1262
237	393	1258
238	394	1254
239	395	1252
240	396	1248
241	397	1244
242	398	1241
243	399	1237
244	400	1234
245	401	1230
246	402	1226
247	403	1222
248	404	1219
249	405	1216
250	406	1212
251	407	1209
252	408	1205
253	409	1202
254	410	1198
255	411	1195
256	412	1192
257	413	1189
258	414	1186
259	415	1183
260	416	1179
261	417	1176
262	418	1173
263	419	1169
264	420	1166
265	421	1163
266	422	1160
267	423	1157
268	424	1153
269	425	1150
270	426	1147
271	427	1144
272	428	1141
273	429	1138
274	430	1135
275	431	1132
276	432	1129
277	433	1126
278	434	1124
279	435	1120
280	437	1118
281	438	1115
